name,nickname,country_code,age,height,average,global_position,value,wage,best_foot,weak_foot_5stars,heading,jump,long_pass,short_pass,dribbling,acceleration,speed,shot_power,long_shot,stamina,defense,interception,team_id_fk,game
Lionel Messi,L. Messi,ar,25,169,94,Delantero,107500000.0,300000.0,Zurdo,3,72,73,76,89,97,95,91,80,88,80,54,22,0,fifa13
C. Ronaldo dos Santos Aveiro,Cristiano Ronaldo,pt,27,186,92,Delantero,80500000.0,250000.0,Diestro,4,86,94,72,82,90,91,94,94,93,89,76,24,1,fifa13
Radamel Falcao García Zarate,Falcao,co,26,176,90,Delantero,38500000.0,180000.0,Diestro,5,95,93,54,69,78,80,78,80,79,75,77,41,2,fifa13
Franck Ribéry,F. Ribéry,fr,29,170,90,Centrocampista,26000000.0,170000.0,Diestro,4,51,53,73,88,94,94,91,76,72,72,64,36,3,fifa13
Xavier Hernández Creus,Xavi,es,32,170,90,Centrocampista,18500000.0,170000.0,Diestro,3,51,53,93,97,83,67,65,67,76,72,178,74,0,fifa13
Andrés Iniesta Luján,Iniesta,es,28,170,90,Centrocampista,34000000.0,180000.0,Diestro,4,54,54,89,95,91,79,73,65,75,78,170,70,0,fifa13
Zlatan Ibrahimović,Z. Ibrahimović,se,30,195,89,Delantero,23000000.0,170000.0,Diestro,4,76,72,72,86,88,74,79,93,86,78,91,20,4,fifa13
Robin van Persie,R. van Persie,nl,28,183,89,Delantero,26000000.0,170000.0,Zurdo,4,73,59,75,85,84,77,76,90,87,72,76,34,5,fifa13
David Josué Jimenez Silva,David Silva,es,26,171,88,Centrocampista,30500000.0,140000.0,Zurdo,2,58,66,85,90,87,83,74,77,80,68,82,41,6,fifa13
Iker Casillas Fernández,Casillas,es,31,185,88,Portero,12500000.0,130000.0,Zurdo,2,12,81,22,21,12,61,64,26,9,47,31,16,1,fifa13
Edinson Cavani,E. Cavani,uy,25,184,87,Delantero,25500000.0,120000.0,Diestro,3,85,92,50,74,79,80,86,85,80,94,96,55,7,fifa13
Mesut Özil,M. Özil,de,23,181,87,Centrocampista,31000000.0,140000.0,Zurdo,2,54,53,80,88,87,78,76,70,76,69,57,33,1,fifa13
Sergio Agüero,S. Agüero,ar,24,175,87,Delantero,25500000.0,140000.0,Diestro,4,72,76,63,82,90,93,85,86,79,66,45,24,6,fifa13
Nemanja Vidić,N. Vidić,rs,30,189,87,Defensa,12500000.0,110000.0,Diestro,3,91,90,62,68,48,53,61,60,28,64,267,83,5,fifa13
Bastian Schweinsteiger,B. Schweinsteiger,de,27,183,87,Centrocampista,20500000.0,130000.0,Diestro,3,75,69,85,89,81,61,65,88,86,80,222,86,3,fifa13
Philipp Lahm,P. Lahm,de,28,170,87,Defensa,14500000.0,120000.0,Diestro,3,65,73,78,85,80,83,81,57,67,88,266,92,3,fifa13
